Reference, Value, Footprint, Datasheet
"R6","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"D1","LED","LEDs:LED_D3.0mm",""
"R3","1K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"P3","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"P2","CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"JP1","Jumper","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"R1","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"P4","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"P1","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"C2","0.1uF","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm",""
"U1","ESP-12E","ESP8266:ESP-12E",""
"C1","100nF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"H1","HT7333","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval",""
"SW2","SW_Push","Buttons_Switches_THT:SW_PUSH_6mm",""
"SW1","SW_Push","Buttons_Switches_THT:SW_PUSH_6mm",""
"R5","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"JP2","Jumper","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
